"salefactid","saleid","saledate","customer.customerid","customer.firstname","customer.lastname","customer.phone","customer.address","customer.city","customer.state","customer.zipcode","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","quantity","saleprice","salestax"
1,4,"2004-08-14",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",8,"Miranda","Dog","Norfolk Terrier","2004-05-04","Female","AKC","Red",203.75,,"",,,"",1,183.38,14.62
2,4,"2004-08-14",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",1,16,14.62
3,4,"2004-08-14",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,14.62
4,5,"2004-10-31",21,"Sarah","Mills","(615) 646-9874","8904 Horseshoe Road","Smyrna","TN","37167",183,"","Spider","Scorpion","2004-02-02","Male","","Black",127,,"",,,"",1,114.3,6.86
5,6,"2004-09-15",44,"Dale","Hammer","(412) 933-3710","9707 Elm Hill Circle","Scott Twp.","PA","15106",58,"Curtis","Bird","Parakeet","2004-04-28","Male","","Gold/Red",146.87,,"",,,"",1,132.19,9.82
6,6,"2004-09-15",44,"Dale","Hammer","(412) 933-3710","9707 Elm Hill Circle","Scott Twp.","PA","15106",,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",1,9,9.82
7,6,"2004-09-15",44,"Dale","Hammer","(412) 933-3710","9707 Elm Hill Circle","Scott Twp.","PA","15106",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,9.82
8,7,"2004-02-10",42,"Jackie","Froedge","(615) 041-1934","243 West Ridge Drive","Brentwood","TN","37027",24,"Carla","Cat","Maine Coon","2004-04-11","Female","CFA","Brown\Red",163.97,,"",,,"",1,147.58,12.31
9,7,"2004-02-10",42,"Jackie","Froedge","(615) 041-1934","243 West Ridge Drive","Brentwood","TN","37027",,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",1,22.5,12.31
10,7,"2004-02-10",42,"Jackie","Froedge","(615) 041-1934","243 West Ridge Drive","Brentwood","TN","37027",,"","","","","","","",,19,"Cat Litter-10 pound",128,8,"Cat",3,7.2,12.31
11,7,"2004-02-10",42,"Jackie","Froedge","(615) 041-1934","243 West Ridge Drive","Brentwood","TN","37027",,"","","","","","","",,40,"Litter Box-Covered",20,15,"Cat",1,13.5,12.31
12,8,"2004-03-10",15,"Connie","Fisher","(409) 116-3589","4491 Evergreen Circle","Galveston","TX","77550",42,"Lloyd","Dog","Bassett Hound","2004-05-19","Male","AKC","Brown/Black",193.63,,"",,,"",1,174.27,17.58
13,8,"2004-03-10",15,"Connie","Fisher","(409) 116-3589","4491 Evergreen Circle","Galveston","TX","77550",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",1,27,17.58
14,8,"2004-03-10",15,"Connie","Fisher","(409) 116-3589","4491 Evergreen Circle","Galveston","TX","77550",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",100,0.72,17.58
15,8,"2004-03-10",15,"Connie","Fisher","(409) 116-3589","4491 Evergreen Circle","Galveston","TX","77550",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,17.58
16,9,"2004-02-10",16,"Rosie","Wade","(502) 863-3037","7661 Trident Place","Hopkinsville","KY","42240",53,"","Fish","Starfish","2004-06-23","Female","","Blue",52,,"",,,"",1,46.8,2.81
